,,,,,,,,,,,,,role,,top_place,,,Modularity Class
203,203,Henry Smeyers,{'Ficcion': 1},{'1617-07-05': 1},Ficcion,Persona,1617,{u'Bruselas': 1},,,{u'Aprobacion': 1},,signatory,{'True': 1},Bruselas,,,0
134,134,"Leon de San Pedro, Fray",{'Ficcion': 1},{'1617-11-17': 1},Ficcion,Persona,1617,{u'Pamplona': 1},"{u'Convento de San Francisco de Pamplona': 1, u'Orden de San Francisco': 1, u'Consejo de Navarra': 1}",,{u'Aprobacion': 1},,signatory,{'True': 1},Pamplona,,,1
208,208,Miguel de Cervantes Saavedra,"{'Ficcion': 25, 'Poesia': 1}","{'1604-09-26': 1, '1614-05-10': 1, '1616-02-04': 1, '1617-01-27': 1, '1614-10-18': 1, '1615-03-30': 1, '1617-01-21': 1, '1612-11-22': 1, '1617-06-04': 1, '1617-11-17': 1, '1605-03-29': 1, '1617-01-01': 4, '1605-07-18': 1, '1613-08-09': 1, '1614-11-17': 1, '1605-03-01': 1, '1607-03-07': 1, '1605-02-09': 2, '1617-09-24': 1, '1615-01-01': 2, '1614-01-11': 1, '1618-01-01': 1, '1615-11-05': 1, '1617-01-17': 1, '1613-08-12': 1, '1608-06-25': 1, '1605-01-01': 1}",Ficcion,Persona,1612,"{u'Pamplona': 4, u'Madrid': 12, u'Bruselas': 5, u'Barcelona': 3, u'Milan': 1, u'Valladolid': 2, u'Lisboa': 4, u'Valencia': 1}",,Bruselas,"{u'Obra': 5, u'Privilegio/Licencia': 6}",Poesia,author,{'True': 1},Madrid,,{'true': 5},0
184,184,"Pedro Fernandez de Castro, Conde de Lemos","{'': 1, 'Ficcion': 17, 'Poesia': 2}",{'': 6},Ficcion,Persona,,{'': 6},"{u'Consejo de Italia': 1, u'Orden de Alcantara': 1, u'Consejo de Indias': 1, u'Condado de Villalba': 1, u'Condado de Andrade': 1, u'Condado de Lemos': 1, u'Marquesado de Sarria': 1}",,{'dedicatory': 6},Poesia,patron,{'True': 1},,"{'Conde de Andrade y Villalva, Marques de Sarria, Gentilhombre de la Camara de su Magestad, Presidente del Consejo Supremo de Italia, Comendador de Cncomienda de la Zarza, de la orden de Alcantara. Pariente del duque de Lerma': 1}",,0
394,394,DeVitte,{'Ficcion': 1},{'1616-02-04': 1},Ficcion,Persona,1616,{u'Bruselas': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Bruselas,,,0
362,362,Huberto Antonio,"{'Teatro': 1, 'Ficcion': 5}","{'1614-01-01': 1, '1618-01-01': 1, '1610-11-07': 1, '1617-08-18': 1, '1611-01-01': 1, '1614-05-10': 2, '1617-01-01': 1, '1616-02-04': 2}",Ficcion,Persona,1614,{u'Bruselas': 10},,,"{u'Privilegio/Licencia': 4, u'Impresion': 6}",Teatro,printer/editor,{'True': 1},Bruselas,{'Impresor de sus Altezas': 1},,0
132,132,Nicolas de Assiayn,{'Ficcion': 4},"{'1614-01-11': 2, '1617-09-17': 1, '1617-11-17': 1, '1615-01-01': 1, '1617-01-01': 1}",Ficcion,Persona,1615,{u'Pamplona': 6},,,"{u'Privilegio/Licencia': 2, u'Impresion': 4}",,printer/editor,{'True': 1},Pamplona,,,1
133,133,"Geronimo de Parada, Fray",{'Ficcion': 1},{'1617-09-12': 1},Ficcion,Persona,1617,{u'Pamplona': 1},"{u'Consejo de Navarra': 1, u'Convento de San Agustin': 1}",,{u'Aprobacion': 1},,signatory,{'True': 1},Pamplona,,,1
131,131,Pedro de Zunzarren,{'Ficcion': 4},"{'1617-09-17': 1, '1614-01-11': 1}",Ficcion,Persona,1615,{u'Pamplona': 2},{u'Consejo de Navarra': 1},,{u'Privilegio/Licencia': 2},,signatory,{'True': 1},Pamplona,,,1
53,53,"Pedro de Olivares, Fray",{'Ficcion': 3},{'1613-09-29': 1},Ficcion,Persona,1613,{u'Pamplona': 1},{u'Consejo de Navarra': 1},,{u'Aprobacion': 1},,signatory,{'True': 1},Pamplona,,,1
224,224,Raphael Vives,{'Ficcion': 1},{'1617-01-01': 1},Ficcion,Persona,1617,{u'Barcelona': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Barcelona,,,3
9,9,Sebastian Matevat,{'Ficcion': 1},{'1617-01-27': 1},Ficcion,Persona,1617,{u'Barcelona': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Barcelona,,,3
425,425,Pedro Patricio Mey,{'Ficcion': 1},{'1605-07-18': 1},Ficcion,Persona,1605,{u'Valencia': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Valencia,,,2
424,424,Jusepe Ferrer,{'Ficcion': 1},{'1605-07-18': 1},Ficcion,Persona,1605,{u'Valencia': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Valencia,,,2
8,8,Domingo Abbad y Huerta,{'Ficcion': 1},{'1617-01-27': 1},Ficcion,Persona,1617,{u'Valencia': 1},{u'Archidiocesis de Valencia': 1},,{u'Aprobacion': 1},,signatory,{'True': 1},Valencia,,,3
416,416,De Salba,{'Ficcion': 3},{'': 3},Ficcion,Persona,,{u'Barcelona': 3},,,{u'Privilegio/Licencia': 3},,signatory,{'True': 1},Barcelona,,,3
223,223,T. Berti,{'Ficcion': 1},{'1617-08-18': 1},Ficcion,Persona,1617,{u'Bruselas': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Bruselas,,,0
138,138,"Alfonso Lopez de Zuniga y Perez de Guzman, Duque de Bejar",{'Ficcion': 7},{'': 1},Ficcion,Persona,,{'': 1},"{u'Casa de Zuniga': 1, u'Ducado de Bejar': 1, u'Marquesado de Gibraleon': 1, u'Condado de Belalcazar': 1, u'Vizcondado de Puebla de Alcocer': 1, u'Condado de Banares': 1}",,{'dedicatory': 1},,patron,{'True': 1},,"{'Marques de Gibralon, Conde de Belalcazar y Banares, Vizconde de la Puebla de Alcozer, Senor de las villas de Capilla, Curiel y Burguillos': 1}",,0
226,226,Joan Simon,{'Ficcion': 2},"{'1617-01-27': 1, '1617-06-04': 1}",Ficcion,Persona,1617,{u'Barcelona': 2},,,{u'Impresion': 2},,printer/editor,{'True': 1},Barcelona,,,3
225,225,Bautista Sorita,{'Ficcion': 2},"{'1617-06-04': 1, '1617-01-01': 1}",Ficcion,Persona,1617,{u'Barcelona': 2},,,{u'Impresion': 2},,printer/editor,{'True': 1},Barcelona,,,3
7,7,Juan Jusepe Martinez Rubio,{'Ficcion': 1},{'1616-05-27': 1},Ficcion,Persona,1616,{u'Valencia': 1},{u'Archidiocesis de Valencia': 1},,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Valencia,,,3
415,415,De Vall,{'Ficcion': 3},{'': 3},Ficcion,Persona,,{u'Barcelona': 3},,,{u'Privilegio/Licencia': 3},,signatory,{'True': 1},Barcelona,,,3
426,426,"Luis Pellicer, Fray",{'Ficcion': 2},{'1605-07-18': 1},Ficcion,Persona,1605,{u'Valencia': 1},,,{u'Aprobacion': 1},,signatory,{'True': 1},Valencia,,,2
