,,,,,,,,,,,,,role,,top_place,,,Modularity Class
277,277,Antonio Sanchez,{'Teatro': 2},{'1615-06-05': 1},Teatro,Persona,1615,{u'Alcala': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Alcala,,,3
231,231,"Gomez Suarez de Figueroa y Cordona, Duque de Feria, Virrey de Valencia",{'Ficcion': 2},{'': 1},Ficcion,Persona,,{'': 1},"{u'Marquesado de Villalva': 1, u'Ducado de Feria': 1, u'Virreinato de Valencia': 1}",,{'dedicatory': 1},,patron,{'True': 1},,,,0
322,322,Francisco Davalos y Orozco,{'Ficcion': 2},{'': 1},Ficcion,Persona,,{'': 1},,,{u'Otro documento': 1},,signatory,{'True': 1},,,,0
323,323,Tomas Daoiz,{'Ficcion': 2},{'1614-12-26': 1},Ficcion,Persona,1614,{u'Madrid': 1},{u'Santo Tomas de Madrid': 1},,{u'Aprobacion': 1},,signatory,{'True': 1},Madrid,,,0
140,140,Gonzalo de Cespedes y Meneses,{'Ficcion': 2},"{'1618-01-01': 1, '1615-03-23': 1, '1615-01-24': 1}",Ficcion,Persona,1616,"{u'Madrid': 1, u'Arganda del Rey': 1, u'Barcelona': 1}",,Arganda del Rey,"{u'Obra': 1, u'Privilegio/Licencia': 1}",,author,{'True': 1},Madrid,,{'true': 1},0
430,430,Diego de Hortigosa,{'Ficcion': 4},{'1612-08-08': 1},Ficcion,Persona,1612,{'': 1},,,{u'Aprobacion': 1},,signatory,{'True': 1},,"{'Se relaciona con Â¨El Monasterio de la Santisima TrinidadÂ¨, tal vez sea igual que Â¨El Convento de la Santisma TrinidadÂ¨': 1}",,3
205,205,Francisco Gassoi,"{'Ficcion': 2, 'Poesia': 1}","{'1613-08-09': 1, '1613-08-23': 1}",Ficcion,Persona,1613,{u'Madrid': 2},{u'San Lorenzo el Real de El Escorial': 1},,{u'Privilegio/Licencia': 2},Poesia,signatory,{'True': 1},Madrid,{'Â¿Gasol?': 1},,3
98,98,Juan de Camargo,{'Ficcion': 2},{'1617-08-10': 1},Ficcion,Persona,1617,{u'Madrid': 1},"{u'Orden de San Agustin': 2, u'Consejo de Inquisicion': 1}",,{u'Aprobacion': 1},,signatory,{'True': 1},Madrid,"{'Rector del colegio de donna Maria de Aragon, de la orden de San Agustin y calificador de la general inquisicion': 1}",,3
303,303,Jorge Olaal de Vergara,"{'Teatro': 1, 'Ficcion': 1}","{'1613-12-23': 1, '1617-11-07': 1}",Teatro,Persona,1615,{u'Madrid': 2},{u'Consejo de Castilla': 1},,{u'Privilegio/Licencia': 2},Ficcion,signatory,{'True': 1},Madrid,{'Chanciller mayor': 1},,1
324,324,Sebastian de Cespedes y Meneses,{'Ficcion': 2},{'': 1},Ficcion,Persona,,{'': 1},,,{u'Otro documento': 1},,signatory,{'True': 1},,,,0
