,,,,,,,,,,,,,role,,top_place,,,Modularity Class
84,84,Francisco Pous,{'Ficcion': 1},{'1604-07-29': 1},Ficcion,Persona,1604,{u'Barcelona': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Barcelona,,,3
5,5,"Gabriel Blasco de Alagon, conde de Sastago",{'Teatro': 1},{'': 1},Teatro,Persona,,{'': 1},{u'Condado de Sastago': 1},,{'dedicatory': 1},,patron,{'True': 1},,"{'Senor de las baronias de Espes y Escuer, camarlengo del Rey': 1}",,0
185,185,Antonio Rodriguez,{'': 1},{'1604-09-26': 1},,Persona,1604,{u'Valladolid': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Valladolid,,,4
200,200,"Pedro Fernandez de Cordoba, Marques de Priego y Montalban",{'Ficcion': 2},{'': 1},Ficcion,Persona,,{'': 1},"{u'Marquesado de Priego': 1, u'Marquesado de Montalban': 1}",,{'dedicatory': 1},,patron,{'True': 1},,,,3
17,17,J. de Buschere,{'Ficcion': 4},"{'1607-03-07': 1, '1604-09-20': 1, '1604-01-15': 1, '1607-10-08': 1}",Ficcion,Persona,1605,{u'Bruselas': 4},{u'Consejo de Flandes': 1},,{u'Privilegio/Licencia': 4},,signatory,{'True': 1},Bruselas,,,3
179,179,Torralua,{'Ficcion': 1},{'': 1},Ficcion,Persona,,{'': 1},,,{u'Aprobacion': 1},,signatory,{'True': 1},,,,1
311,311,Juan Amello,{'Ficcion': 1},{'1602-08': 1},Ficcion,Persona,1602,{u'Barcelona': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Barcelona,,,1
107,107,Cellers,{'Ficcion': 1},{'': 1},Ficcion,Persona,,{u'Barcelona': 1},{u'Diocesis de Barcelona': 1},,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Barcelona,{'Vicario General de diocesis de Barcelona': 1},,1
103,103,Francisco Paulus Alreus,{'Ficcion': 1},{'1602-08-20': 1},Ficcion,Persona,1602,{u'Valencia': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Valencia,,,1
260,260,Antich Ribera,{'Ficcion': 1},{'1602-08': 1},Ficcion,Persona,1602,{u'Barcelona': 1},,,{u'Impresion': 1},,printer/editor,{'True': 1},Barcelona,,,1
108,108,Pedro Juan Asensio,{'Ficcion': 1},{'1602-08-08': 1},Ficcion,Persona,1602,{u'Valencia': 1},,,{u'Aprobacion': 1},,signatory,{'True': 1},Valencia,,,1
271,271,"Antonio Castro, Vicario General de Lerida",{'Ficcion': 2},{'1611-01-04': 1},Ficcion,Persona,1611,{u'Lerida': 1},{u'Diocesis de Lerida': 1},,{u'Aprobacion': 1},,signatory,{'True': 1},Lerida,,,2
270,270,"Agustin Osorio, Fray",{'Ficcion': 2},{'1611-01-04': 1},Ficcion,Persona,1611,{u'Lerida': 1},,,{u'Aprobacion': 1},,signatory,{'True': 1},Lerida,{'Prior de San Agustin de Lerida': 1},,2
262,262,"Pedro Franqueza, Conde de Villalonga",{'Ficcion': 1},{'1603-09-24': 1},Ficcion,Persona,1603,{u'Valladolid': 1},{u'Condado de Villalonga': 1},,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Valladolid,,,4
4,4,"Pedro de Moya, vicario general",{'Teatro': 1},{'1603-12-11': 1},Teatro,Persona,1603,{u'Zaragoza': 1},{u'Archidiocesis de Zaragoza': 1},,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Zaragoza,,,0
177,177,Angelo Tavanno,"{'Teatro': 1, 'Ficcion': 1}","{'1602-11-12': 1, '1603-10-15': 1, '1604-01-01': 1}",Teatro,Persona,1603,{u'Zaragoza': 3},,,"{u'Privilegio/Licencia': 2, u'Impresion': 1}",Ficcion,printer/editor,{'True': 1},Zaragoza,,,0
6,6,Jeronimo de Iturralde,{'Teatro': 1},{'1603-12-11': 1},Teatro,Persona,1603,{u'Zaragoza': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Zaragoza,,,0
88,88,Joannis Laurenti Descartin,{'Teatro': 1},{'1603-10-15': 1},Teatro,Persona,1603,{u'Zaragoza': 1},,,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Zaragoza,,,0
355,355,Geronimo Margarit,"{'Ficcion': 3, 'Poesia': 1}","{'1618-04-19': 1, '1607-02-23': 1, '1612-01-01': 1, '1609-01-01': 1}",Ficcion,Persona,1611,"{u'Lerida': 1, u'Barcelona': 3}",,Lerida,{u'Impresion': 4},Poesia,printer/editor,{'True': 1},Barcelona,,,4
309,309,Domingo Gonzalez,{'Ficcion': 1},"{'1618-03-06': 1, '1618-01-29': 1}",Ficcion,Persona,1618,{u'Madrid': 2},,,"{u'Privilegio/Licencia': 1, u'Impresion': 1}",,printer/editor,{'True': 1},Madrid,,,4
18,18,Roger Velpius,"{'Teatro': 1, 'Ficcion': 7}","{'1610-01-01': 1, '1614-01-01': 1, '1610-11-07': 1, '1607-03-07': 2, '1611-01-01': 1, '1614-05-10': 2, '1604-01-15': 2, '1607-10-08': 1, '1600-05-15': 1, '1608-01-01': 1}",Ficcion,Persona,1608,{u'Bruselas': 13},,,"{u'Privilegio/Licencia': 5, u'Impresion': 8}",Teatro,printer/editor,{'True': 1},Bruselas,"{'Impresor de sus Altezas, en el aguila de oro cerca del palacio': 1}",,3
261,261,"Gaspar Mercader y Carroz, Conde de Bunol",{'Ficcion': 4},{'': 1},Ficcion,Persona,,{'': 1},{u'Condado de Bunol': 1},,{'dedicatory': 1},,patron,{'True': 1},,,,1
264,264,Agustin de Rojas Villaldrando,{'Ficcion': 4},"{'1603-09-24': 1, '1615-01-01': 1, '1611-02-04': 1, '1603-10-22': 1, '1603-06-16': 1, '1614-05-17': 1}",Ficcion,Persona,1608,"{u'Lerida': 2, u'San Juan de Ortega': 1, u'Valladolid': 1, u'Madrid': 2}",,Madrid,"{u'Obra': 1, u'Privilegio/Licencia': 2}",,author,{'True': 1},Lerida,,{'true': 1},2
354,354,Luis Menescal,"{'Ficcion': 3, 'Poesia': 1}","{'1611-02-04': 1, '1612-01-01': 1, '1616-06-06': 1, '1615-01-01': 1}",Ficcion,Persona,1613,{u'Lerida': 4},,,{u'Impresion': 4},Poesia,printer/editor,{'True': 1},Lerida,,,2
380,380,Gaspar Lucas Hidalgo,{'Ficcion': 4},"{'1610-01-01': 1, '1603-01-31': 1, '1605-01-01': 1, '1609-01-01': 1, '1618-03-06': 1}",Ficcion,Persona,1609,"{u'Madrid': 2, u'Bruselas': 1, u'Valladolid': 1, u'Barcelona': 2}",,Barcelona,"{u'Obra': 1, u'Privilegio/Licencia': 1}",,author,{'True': 1},Madrid,,{'true': 1},4
147,147,Tomas Gracian Dantisco,"{'': 1, 'Ficcion': 8}","{'1604-08-04': 1, '1603-05-15': 1, '1603-11-25': 1, '1604-08-02': 1, '1603-12-11': 1}",Ficcion,Persona,1603,{u'Valladolid': 5},,,"{u'Aprobacion': 4, u'Privilegio/Licencia': 1}",,signatory,{'True': 1},Valladolid,,,4
145,145,Juan de Amezqueta,"{'': 1, 'Ficcion': 6}","{'1603-01-31': 1, '1604-09-26': 2, '1603-06-16': 1}",Ficcion,Persona,1603,"{u'Valladolid': 3, u'San Juan de Ortega': 1}",{u'Consejo de Castilla': 1},San Juan de Ortega,{u'Privilegio/Licencia': 4},,signatory,{'True': 1},Valladolid,,,4
308,308,Martin Valero de Franqueza,{'Ficcion': 2},{'': 1},Ficcion,Persona,,{'': 1},{u'Orden de Santiago': 1},,{'dedicatory': 1},,patron,{'True': 1},,{'Caballero del habito de Santiago y gentilhombre de la boca de su Majestad': 1},,4
183,183,Juan Arce Solorzano,{'': 1},"{'': 1, '1604-08-04': 1}",,Persona,1604,"{'': 1, u'Valladolid': 1}",,Valladolid,"{u'Obra': 1, u'Privilegio/Licencia': 1}",,author,{'True': 1},,,{'true': 1},4
176,176,"Ascario Colonna, Cardenal, Virrey de Aragon",{'Ficcion': 1},{'1602-11-12': 1},Ficcion,Persona,1602,{u'Zaragoza': 1},{u'Virreinato de Aragon': 1},,{u'Privilegio/Licencia': 1},,signatory,{'True': 1},Zaragoza,,,1
